name,taxonomy
EsbE_18-Q3-R3-47_BAT3C.270.fa,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__UBA9949;s__
EsbE_18-Q3-R3-47_BAT3C.140.fa,d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__
Fred_18-Q3-R57-64_BAT3C.431.fa,d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__;f__;g__;s__
Ejby_18-Q3-R6-50_BAT3C.203.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Austwickia;s__
Fred_18-Q3-R57-64_BATAC.85v2.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Austwickia;s__
Hirt_18-Q3-R61-65_BAT3C.202.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Austwickia;s__
Lyne_18-Q3-R50-59_BATAC.420.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Austwickia;s__
AalE_18-Q3-R2-46_BAT3C.188.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__
AalW_18-Q3-R10-53_BAT3C.524.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__
Bjer_18-Q3-R1-45_BAT3C.93.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__
Ega_18-Q3-R5-49_MAXAC.001.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__
EsbW_18-Q3-R4-48_BAT3C.295.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__
Hirt_18-Q3-R61-65_BAT3C.386.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__
Hjor_18-Q3-R7-51_BAT3C.81_sub.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__
Hjor_18-Q3-R7-51_MAXAC.088.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__
Mari_18-Q3-R65-66_BAT3C.41.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__
Ribe_18-Q3-R11-54_BAT3C.65.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__
Ribe_18-Q3-R11-54_MAXAC.001.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__
Hjor_18-Q3-R7-51_BAT3C.94.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Phycicoccus;s__
Hjor_18-Q3-R7-51_BATAC.29.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Phycicoccus;s__Phycicoccus
Aved_18-Q3-R54-62_MAXAC.378.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera_A;s__
Aved_18-Q3-R54-62_MAXAC.248_sub.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__;s__
EsbW_18-Q3-R4-48_BAT3C.288.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__;s__
Fred_18-Q3-R57-64_BATAC.480.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__;s__
Aved_18-Q3-R54-62_BATAC.616.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__GCA-2699445;g__;s__
Ribe_18-Q3-R11-54_BATAC.412.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__S36-B12;g__UBA10649;s__
Mari_18-Q3-R65-66_BATAC.348.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__UBA10799;g__;s__
Ribe_18-Q3-R11-54_BAT3C.101.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__;s__
Hirt_18-Q3-R61-65_BAT3C.279.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Micropruina;s__
Hirt_18-Q3-R61-65_BAT3C.320.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Micropruina;s__
Hjor_18-Q3-R7-51_MAXAC.115.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Micropruina;s__
Hirt_18-Q3-R61-65_BAT3C.167.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Nigerium;s__
EsbW_18-Q3-R4-48_MAXAC.167_sub.fa,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Tessaracoccus;s__
OdNE_18-Q3-R46-58_MAXAC.036.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__;f__;g__;s__
Skiv_18-Q3-R9-52_BAT3C.112.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__;f__;g__;s__
AalE_18-Q3-R2-46_MAXAC.103.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__2013-40CM-41-45;g__;s__
AalW_18-Q3-R10-53_BAT3C.196.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__2013-40CM-41-45;g__;s__
Aved_18-Q3-R54-62_MAXAC.153.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__2013-40CM-41-45;g__;s__
Bjer_18-Q3-R1-45_BATAC.43.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__2013-40CM-41-45;g__;s__
Ega_18-Q3-R5-49_BATAC.486.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__2013-40CM-41-45;g__;s__
EsbE_18-Q3-R3-47_BAT3C.118.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__2013-40CM-41-45;g__;s__
EsbW_18-Q3-R4-48_MAXAC.253.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__2013-40CM-41-45;g__;s__
Fred_18-Q3-R57-64_BAT3C.606.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__2013-40CM-41-45;g__;s__
Hade_18-Q3-R52-61_MAXAC.102.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__2013-40CM-41-45;g__;s__
Mari_18-Q3-R65-66_MAXAC.086.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__2013-40CM-41-45;g__;s__
OdNE_18-Q3-R46-58_BATAC.385_sub.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__2013-40CM-41-45;g__;s__
OdNW_18-Q3-R42-56_MAXAC.127.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__2013-40CM-41-45;g__;s__
Rand_18-Q3-R56-63_BAT3C.19.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__2013-40CM-41-45;g__;s__
Skiv_18-Q3-R9-52_BAT3C.325.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__2013-40CM-41-45;g__;s__
Skiv_18-Q3-R9-52_BATAC.251.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__2013-40CM-41-45;g__;s__
Skiv_18-Q3-R9-52_BATAC.703.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__2013-40CM-41-45;g__;s__
Vibo_18-Q3-R45-57_BATAC.209.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__2013-40CM-41-45;g__;s__
Vibo_18-Q3-R45-57_MAXAC.083.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__2013-40CM-41-45;g__;s__
Aved_18-Q3-R54-62_BAT3C.302.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__
Ega_18-Q3-R5-49_MAXAC.075.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__
EsbW_18-Q3-R4-48_BATAC.26.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__
Fred_18-Q3-R57-64_BAT3C.256.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__
Fred_18-Q3-R57-64_BAT3C.394.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__
Fred_18-Q3-R57-64_BATAC.274.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__
Fred_18-Q3-R57-64_BATAC.296.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__
Hade_18-Q3-R52-61_MAXAC.088.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__
Hirt_18-Q3-R61-65_MAXAC.063.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__
Lyne_18-Q3-R50-59_BATAC.464.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__
Lyne_18-Q3-R50-59_MAXAC.074.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__
Mari_18-Q3-R65-66_BAT3C.187.fa,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__
