Bin,expression,phase
3300009517-bin.1,9145.732138,N
3300009517-bin.13,894.1023353,N
3300009517-bin.35,47740.67447,N
3300009517-bin.38,3651.185793,N
3300009517-bin.45,6597.500194,N
3300009517-bin.46,682.4692382,N
3300009517-bin.48,20875.05055,N
3300009517-bin.49,14011.47982,N
3300009517-bin.5,873.0877049,N
3300009517-bin.6,17298.64933,N
3300026286-bin.22,14347.47066,N
3300026286-bin.31,17409.09782,N
3300026286-bin.36,10657.50136,N
3300026286-bin.38,174.7189738,N
3300026286-bin.7,1306.292243,N
3300026302-bin.14,131.5798202,N
3300026302-bin.23,481.1055854,N
3300026302-bin.3,650204.1528,N
3300026302-bin.30,657.1267457,N
3300026302-bin.31,4045.62282,N
3300026302-bin.43,41143.74275,N
3300026302-bin.45,249.3954986,N
3300026302-bin.54,2393.915235,N
3300026302-bin.6,2603.753392,N
megahit-bin.110,556.7069889,N
megahit-bin.15,202.7943818,N
megahit-bin.30,623.8309602,N
megahit-bin.38,470.9548389,N
megahit-bin.40,6750.714889,N
megahit-bin.50,21150.14923,N
megahit-bin.75,1195.800531,N
spades-bin.10,899.6221628,N
spades-bin.103,379.5016948,N
spades-bin.104,12465.36022,N
spades-bin.105,3356.940292,N
spades-bin.115,155.2804528,N
spades-bin.14,192.7394841,N
spades-bin.17,1285.590811,N
spades-bin.2,273.2036411,N
spades-bin.28,748.2800936,N
spades-bin.29,734.1780204,N
spades-bin.3,202.0308759,N
spades-bin.31,317.5536615,N
spades-bin.33,116.7151984,N
spades-bin.36,570.4682482,N
spades-bin.4,3214.154432,N
spades-bin.40,113.1925569,N
spades-bin.45,27052.75117,N
spades-bin.48,133.7395627,N
spades-bin.50,369.0276501,N
spades-bin.52,5534.928996,N
spades-bin.53,68.04327753,N
spades-bin.55,133.22544,N
spades-bin.56,319.5116335,N
spades-bin.57,1535.816812,N
spades-bin.58,2146.738103,N
spades-bin.60,166.3641341,N
spades-bin.61,167.6069677,N
spades-bin.68,180.0184196,N
spades-bin.74,4126.846875,N
spades-bin.75,58.55266318,N
spades-bin.77,3825.612368,N
spades-bin.84,29166.58342,N
spades-bin.93,258.4316635,N
spades-bin.97,45.76468555,N
spades-bin.99,1159.265247,N
3300009517-bin.1,15937.08295,O
3300009517-bin.13,1158.576472,O
3300009517-bin.35,66933.2681,O
3300009517-bin.38,4533.777759,O
3300009517-bin.45,10201.54306,O
3300009517-bin.46,1178.372284,O
3300009517-bin.48,19883.22006,O
3300009517-bin.49,20446.17578,O
3300009517-bin.5,690.3327567,O
3300009517-bin.6,19415.92165,O
3300026286-bin.22,16981.62335,O
3300026286-bin.31,14317.84368,O
3300026286-bin.36,13026.61921,O
3300026286-bin.38,118.259458,O
3300026286-bin.7,3025.90273,O
3300026302-bin.14,199.5719761,O
3300026302-bin.23,663.3263518,O
3300026302-bin.3,583310.1059,O
3300026302-bin.30,1269.517371,O
3300026302-bin.31,7173.455906,O
3300026302-bin.43,47561.60747,O
3300026302-bin.45,428.9906731,O
3300026302-bin.54,3940.729114,O
3300026302-bin.6,2077.242823,O
megahit-bin.110,741.1775449,O
megahit-bin.15,249.6128554,O
megahit-bin.30,680.1715413,O
megahit-bin.38,663.611188,O
megahit-bin.40,10514.57854,O
megahit-bin.50,27821.7772,O
megahit-bin.75,1215.11421,O
spades-bin.10,981.5742569,O
spades-bin.103,38.785438,O
spades-bin.104,14878.25297,O
spades-bin.105,3962.162376,O
spades-bin.115,201.8999339,O
spades-bin.14,150.1140457,O
spades-bin.17,1961.223057,O
spades-bin.2,363.7836501,O
spades-bin.28,1445.766167,O
spades-bin.29,1285.959183,O
spades-bin.3,160.9661094,O
spades-bin.31,302.1388956,O
spades-bin.33,56.70190436,O
spades-bin.36,604.4424168,O
spades-bin.4,5998.125216,O
spades-bin.40,291.9095985,O
spades-bin.45,20308.36298,O
spades-bin.48,126.1109464,O
spades-bin.50,492.056621,O
spades-bin.52,4099.487936,O
spades-bin.53,86.06967691,O
spades-bin.55,149.6388034,O
spades-bin.56,240.7097964,O
spades-bin.57,2037.028426,O
spades-bin.58,3448.926404,O
spades-bin.60,160.1531019,O
spades-bin.61,249.7909313,O
spades-bin.68,250.0725595,O
spades-bin.74,6051.527859,O
spades-bin.75,42.56549551,O
spades-bin.77,1203.199894,O
spades-bin.84,30244.36564,O
spades-bin.93,276.8099232,O
spades-bin.97,92.30148822,O
spades-bin.99,1397.906346,O
