Bin,Anaerobic,Aerobic
3300009517-bin.1,9145.7321378622,15937.082946362
3300009517-bin.13,894.102335342369,1158.57647225659
3300009517-bin.35,47740.6744732447,66933.2680982064
3300009517-bin.38,3651.18579263943,4533.77775894218
3300009517-bin.45,6597.50019444149,10201.5430613375
3300009517-bin.46,682.46923818195,1178.37228407338
3300009517-bin.48,20875.050549027,19883.2200613198
3300009517-bin.49,14011.4798210258,20446.1757770737
3300009517-bin.5,873.087704873507,690.332756716487
3300009517-bin.6,17298.6493273509,19415.9216528071
3300026286-bin.22,14347.4706563907,16981.6233531688
3300026286-bin.31,17409.0978187267,14317.8436773678
3300026286-bin.36,10657.5013622141,13026.619207617
3300026286-bin.38,174.718973788357,118.259457956723
3300026286-bin.7,1306.29224261273,3025.90272973854
3300026302-bin.14,131.579820166867,199.571976102399
3300026302-bin.23,481.105585404972,663.326351808742
3300026302-bin.3,650204.152772585,583310.105905835
3300026302-bin.30,657.126745679049,1269.51737078171
3300026302-bin.31,4045.6228195009,7173.45590617558
3300026302-bin.43,41143.7427528813,47561.6074650569
3300026302-bin.45,249.395498569502,428.990673117812
3300026302-bin.54,2393.91523540399,3940.72911385693
3300026302-bin.6,2603.75339204669,2077.24282337902
megahit-bin.110,556.70698892363,741.177544939315
megahit-bin.15,202.794381795488,249.612855443107
megahit-bin.30,623.830960226291,680.171541285658
megahit-bin.38,470.95483891956,663.611187978652
megahit-bin.40,6750.71488939926,10514.578539804
megahit-bin.50,21150.1492280809,27821.7771961917
megahit-bin.75,1195.80053147288,1215.11420985244
spades-bin.10,899.622162848105,981.574256914977
spades-bin.103,379.501694846794,38.7854379969719
spades-bin.104,12465.3602189383,14878.2529692249
spades-bin.105,3356.94029188233,3962.16237550358
spades-bin.115,155.280452839148,201.899933906574
spades-bin.14,192.739484112354,150.114045740553
spades-bin.17,1285.59081062695,1961.22305706962
spades-bin.2,273.203641085425,363.783650050418
spades-bin.28,748.28009360194,1445.76616689779
spades-bin.29,734.178020355671,1285.9591827713
spades-bin.3,202.030875929665,160.96610938522
spades-bin.31,317.553661495923,302.13889555518
spades-bin.33,116.715198387235,56.7019043605249
spades-bin.36,570.468248183767,604.44241679673
spades-bin.4,3214.1544320847,5998.12521591178
spades-bin.40,113.192556880899,291.909598523449
spades-bin.45,27052.7511652658,20308.3629777058
spades-bin.48,133.739562662358,126.110946412704
spades-bin.50,369.027650129349,492.056621003054
spades-bin.52,5534.92899621699,4099.48793646144
spades-bin.53,68.0432775301164,86.069676913583
spades-bin.55,133.225440031678,149.63880338583
spades-bin.56,319.511633460557,240.709796407019
spades-bin.57,1535.81681204374,2037.02842605362
spades-bin.58,2146.73810297208,3448.92640393854
spades-bin.60,166.364134076771,160.153101853894
spades-bin.61,167.606967655042,249.790931268291
spades-bin.68,180.018419629201,250.072559548611
spades-bin.74,4126.84687480602,6051.52785854498
spades-bin.75,58.5526631846703,42.5654955068654
spades-bin.77,3825.6123675202,1203.1998938493
spades-bin.84,29166.5834234414,30244.3656410182
spades-bin.93,258.431663489668,276.80992317806
spades-bin.97,45.7646855458234,92.301488218638
spades-bin.99,1159.26524746087,1397.90634556932
