bin,bin_code,gtdb_taxonomy,ncbi_taxonomy
3300009517-bin.1,CYT1,p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Leadbetterella,p_Bacteroidetes ;c_Cytophagia;o_Cytophagales;f_Cytophagaceae
3300009517-bin.12,RUN1,p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Runella;s__,p_Bacteroidetes;c_Cytophagia;o_Cytophagales;f_Cytophagaceae;g_Runella
3300009517-bin.13,COMA1,p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__;s__,p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae
3300009517-bin.3,TET1,p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera_A,p_Actinobacteria;c_Actinobacteria;o_Micrococcales;f_Intrasporangiaceae;g_Tetrasphaera
3300009517-bin.31,FLAV1,p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium,p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae
3300009517-bin.42,BURK1,p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Rubrivivax;,p_Proteobacteriac_Betaproteobacteria;o_Burkholderiales 
3300009517-bin.47,RHODO2,p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA6273,p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae
3300009517-bin.6,RHODO1,p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA6273,p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae
3300026282-bin.4,CAPIA,p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Rhodocyclaceae;g__Accumulibacter,p_Proteobacteria;c_Betaproteobacteria;o_;f_Rhodocyclyacaeae;g_Accumulibacter;s_Candidatus Accumulibacter phosphatis clade IA
3300026284-bin.9,CAPIIA,p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Rhodocyclaceae;g__Accumulibacter,p_Proteobacteria;c_Betaproteobacteria;o_;f_Rhodocyclyacaeae;g_Accumulibacter;s_Candidatus Accumulibacter phosphatis clade IIA
3300026288-bin.43,TET2,p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera_A,p_Actinobacteria;c_Actinobacteria;o_Micrococcales;f_Intrasporangiaceae;g_Tetrasphaera
3300026302-bin.10,COMA2,p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae,p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae
3300026302-bin.32,BACT1,p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UKL13-3,p_Bacteroidetes
3300026302-bin.46,PSEDUO1,p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A,p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Pseudoxanthomonas
3300026302-bin.62,OBS1,p__Cyanobacteriota;c__Vampirovibrionia;o__Obscuribacterales;f__Obscuribacteraceae,p_Candidatus Melainabacteria; c_; o_Candidatus Obscuribacterales; f_; g_Candidatus Obscuribacter; s_Candidatus Obscuribacter phosphatis
3300026303-bin.42,CHIT1,p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__;s__,p_Bacteroidetes;c_Chitinophagia;o_Chitinophagales ;f_Chitinophagaceae
