Bin,Abundance,Highest_Classf,,Sample
3300009517-bin.1,9.14E-06,Bacteroidetes,,2007-09-17-EBPR
3300009517-bin.1,0.001899763,Bacteroidetes,,2008-04-24-EBPR
3300009517-bin.1,1.01E-05,Bacteroidetes,,2009-02-02-EBPR
3300009517-bin.1,0.002271289,Bacteroidetes,,2010-07-15-EBPR
3300009517-bin.1,3.36E-05,Bacteroidetes,,2010-10-04-EBPR
3300009517-bin.1,1.93E-05,Bacteroidetes,,2011-01-10-EBPR
3300009517-bin.1,0.00476233,Bacteroidetes,,2012-01-23-EBPR
3300009517-bin.1,0.001855327,Bacteroidetes,,2013-05-13-EBPR
3300009517-bin.1,4.19E-05,Bacteroidetes,,2013-05-23-EBPR
3300009517-bin.1,0.015572621,Bacteroidetes,,2013-05-28-EBPR
3300009517-bin.12,0.001826194,Bacteroidetes,,2007-09-17-EBPR
3300009517-bin.12,6.65E-05,Bacteroidetes,,2008-04-24-EBPR
3300009517-bin.12,0.000301199,Bacteroidetes,,2009-02-02-EBPR
3300009517-bin.12,9.47E-05,Bacteroidetes,,2010-07-15-EBPR
3300009517-bin.12,0.001104502,Bacteroidetes,,2010-10-04-EBPR
3300009517-bin.12,3.66E-05,Bacteroidetes,,2011-01-10-EBPR
3300009517-bin.12,0.000435108,Bacteroidetes,,2012-01-23-EBPR
3300009517-bin.12,0.001470423,Bacteroidetes,,2013-05-13-EBPR
3300009517-bin.12,0.014120322,Bacteroidetes,,2013-05-23-EBPR
3300009517-bin.12,0.027539856,Bacteroidetes,,2013-05-28-EBPR
3300009517-bin.13,2.82E-05,Betaproteobacteria,,2007-09-17-EBPR
3300009517-bin.13,1.53E-05,Betaproteobacteria,,2008-04-24-EBPR
3300009517-bin.13,1.12E-05,Betaproteobacteria,,2009-02-02-EBPR
3300009517-bin.13,9.02E-05,Betaproteobacteria,,2010-07-15-EBPR
3300009517-bin.13,1.10E-05,Betaproteobacteria,,2010-10-04-EBPR
3300009517-bin.13,9.78E-05,Betaproteobacteria,,2011-01-10-EBPR
3300009517-bin.13,7.13E-05,Betaproteobacteria,,2012-01-23-EBPR
3300009517-bin.13,0.010280087,Betaproteobacteria,,2013-05-13-EBPR
3300009517-bin.13,0.007826962,Betaproteobacteria,,2013-05-23-EBPR
3300009517-bin.13,0.031832677,Betaproteobacteria,,2013-05-28-EBPR
3300009517-bin.29,0.010636793,Alphaproteobacteria,,2007-09-17-EBPR
3300009517-bin.29,0.003232989,Alphaproteobacteria,,2008-04-24-EBPR
3300009517-bin.29,0.002660169,Alphaproteobacteria,,2009-02-02-EBPR
3300009517-bin.29,3.47E-05,Alphaproteobacteria,,2010-07-15-EBPR
3300009517-bin.29,0.000204197,Alphaproteobacteria,,2010-10-04-EBPR
3300009517-bin.29,0.000370137,Alphaproteobacteria,,2011-01-10-EBPR
3300009517-bin.29,0.000916492,Alphaproteobacteria,,2012-01-23-EBPR
3300009517-bin.29,0.003926288,Alphaproteobacteria,,2013-05-13-EBPR
3300009517-bin.29,0.005635788,Alphaproteobacteria,,2013-05-23-EBPR
3300009517-bin.29,0.006781032,Alphaproteobacteria,,2013-05-28-EBPR
3300009517-bin.3,9.19E-05,Actinobacteria,,2007-09-17-EBPR
3300009517-bin.3,0.001029436,Actinobacteria,,2008-04-24-EBPR
3300009517-bin.3,0.000384661,Actinobacteria,,2009-02-02-EBPR
3300009517-bin.3,0.000122284,Actinobacteria,,2010-07-15-EBPR
3300009517-bin.3,0.000130953,Actinobacteria,,2010-10-04-EBPR
3300009517-bin.3,0.000135994,Actinobacteria,,2011-01-10-EBPR
3300009517-bin.3,0.000189172,Actinobacteria,,2012-01-23-EBPR
3300009517-bin.3,0.006865588,Actinobacteria,,2013-05-13-EBPR
3300009517-bin.3,0.007449893,Actinobacteria,,2013-05-23-EBPR
3300009517-bin.3,0.010113328,Actinobacteria,,2013-05-28-EBPR
3300009517-bin.30,0.013194668,Bacteroidetes,,2007-09-17-EBPR
3300009517-bin.30,0.110075042,Bacteroidetes,,2008-04-24-EBPR
3300009517-bin.30,0.083034991,Bacteroidetes,,2009-02-02-EBPR
3300009517-bin.30,0.064233718,Bacteroidetes,,2010-07-15-EBPR
3300009517-bin.30,0.079177917,Bacteroidetes,,2010-10-04-EBPR
3300009517-bin.30,0.279488033,Bacteroidetes,,2011-01-10-EBPR
3300009517-bin.30,0.008963673,Bacteroidetes,,2012-01-23-EBPR
3300009517-bin.30,0.001149898,Bacteroidetes,,2013-05-13-EBPR
3300009517-bin.30,0.04616267,Bacteroidetes,,2013-05-23-EBPR
3300009517-bin.30,0.0051489,Bacteroidetes,,2013-05-28-EBPR
3300009517-bin.31,0.002179801,Bacteroidetes,,2007-09-17-EBPR
3300009517-bin.31,0.000244426,Bacteroidetes,,2008-04-24-EBPR
3300009517-bin.31,0.004297623,Bacteroidetes,,2009-02-02-EBPR
3300009517-bin.31,2.65E-05,Bacteroidetes,,2010-07-15-EBPR
3300009517-bin.31,0.000469448,Bacteroidetes,,2010-10-04-EBPR
3300009517-bin.31,0.000807006,Bacteroidetes,,2011-01-10-EBPR
3300009517-bin.31,2.60E-05,Bacteroidetes,,2012-01-23-EBPR
3300009517-bin.31,0.000423495,Bacteroidetes,,2013-05-13-EBPR
3300009517-bin.31,2.38E-05,Bacteroidetes,,2013-05-23-EBPR
3300009517-bin.31,0.013716481,Bacteroidetes,,2013-05-28-EBPR
3300009517-bin.42,0.000100291,Betaproteobacteria,,2007-09-17-EBPR
3300009517-bin.42,0.000100583,Betaproteobacteria,,2008-04-24-EBPR
3300009517-bin.42,0.000306413,Betaproteobacteria,,2009-02-02-EBPR
3300009517-bin.42,7.58E-05,Betaproteobacteria,,2010-07-15-EBPR
3300009517-bin.42,0.000140309,Betaproteobacteria,,2010-10-04-EBPR
3300009517-bin.42,0.000131067,Betaproteobacteria,,2011-01-10-EBPR
3300009517-bin.42,0.000201479,Betaproteobacteria,,2012-01-23-EBPR
3300009517-bin.42,0.003469669,Betaproteobacteria,,2013-05-13-EBPR
3300009517-bin.42,0.005603679,Betaproteobacteria,,2013-05-23-EBPR
3300009517-bin.42,0.00592162,Betaproteobacteria,,2013-05-28-EBPR
3300009517-bin.47,3.50E-05,Alphaproteobacteria,,2007-09-17-EBPR
3300009517-bin.47,1.44E-05,Alphaproteobacteria,,2008-04-24-EBPR
3300009517-bin.47,2.46E-05,Alphaproteobacteria,,2009-02-02-EBPR
3300009517-bin.47,2.21E-05,Alphaproteobacteria,,2010-07-15-EBPR
3300009517-bin.47,2.33E-05,Alphaproteobacteria,,2010-10-04-EBPR
3300009517-bin.47,3.63E-05,Alphaproteobacteria,,2011-01-10-EBPR
3300009517-bin.47,4.05E-05,Alphaproteobacteria,,2012-01-23-EBPR
3300009517-bin.47,0.004020433,Alphaproteobacteria,,2013-05-13-EBPR
3300009517-bin.47,0.001958508,Alphaproteobacteria,,2013-05-23-EBPR
3300009517-bin.47,0.014049999,Alphaproteobacteria,,2013-05-28-EBPR
3300009517-bin.52,0.000407518,Actinobacteria,,2007-09-17-EBPR
3300009517-bin.52,0.000383097,Actinobacteria,,2008-04-24-EBPR
3300009517-bin.52,0.00269329,Actinobacteria,,2009-02-02-EBPR
3300009517-bin.52,0.001773039,Actinobacteria,,2010-07-15-EBPR
3300009517-bin.52,0.000775461,Actinobacteria,,2010-10-04-EBPR
3300009517-bin.52,0.000899889,Actinobacteria,,2011-01-10-EBPR
3300009517-bin.52,0.000778346,Actinobacteria,,2012-01-23-EBPR
3300009517-bin.52,0.000639391,Actinobacteria,,2013-05-13-EBPR
3300009517-bin.52,0.001243227,Actinobacteria,,2013-05-23-EBPR
3300009517-bin.52,0.002850754,Actinobacteria,,2013-05-28-EBPR
3300009517-bin.6,2.93E-05,Alphaproteobacteria,,2007-09-17-EBPR
3300009517-bin.6,0.001634591,Alphaproteobacteria,,2008-04-24-EBPR
3300009517-bin.6,0.000115076,Alphaproteobacteria,,2009-02-02-EBPR
3300009517-bin.6,1.05E-08,Alphaproteobacteria,,2010-07-15-EBPR
3300009517-bin.6,7.88E-07,Alphaproteobacteria,,2010-10-04-EBPR
