,Bin,Abundance,Highest_Classf,Domain,Phylum,Class,Order,Family,Genus,Species
20,3300026284-bin.9,779.1160371,Accumulibacter_IA,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Accumulibacter,
13,3300026282-bin.4,677.4081949,Accumulibacter_IIA,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Accumulibacter,
6,3300009517-bin.30,205.3702555,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium_A,
50,3300026302-bin.47,96.90510616,Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,
39,3300026299-bin.22,69.81689214,Actinobacteria,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Dermatophilaceae,,
49,3300026302-bin.46,49.98744529,Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas_A,
54,3300026303-bin.32,40.43784646,Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,
31,3300026288-bin.43,39.51495918,Actinobacteria,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Dermatophilaceae,Tetrasphaera_A,
38,3300026299-bin.12,37.1059994,Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas_A,
56,3300026303-bin.42,31.7167684,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,,
53,3300026302-bin.62,26.49321953,Cyanobacteria,Bacteria,Cyanobacteriota,Vampirovibrionia,Obscuribacterales,Obscuribacteraceae,,
42,3300026302-bin.10,24.28291922,Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,
21,3300026287-bin.17,23.76566052,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,,
19,3300026284-bin.6,23.32247438,Actinobacteria,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Dermatophilaceae,,
47,3300026302-bin.31,21.65341757,Betaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ottowia,
26,3300026288-bin.19,21.48428484,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
33,3300026289-bin.23,20.05986966,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium_A,
43,3300026302-bin.20,19.19545575,Betaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,
14,3300026282-bin.5,17.43422334,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,
57,3300026303-bin.46,15.52830647,Actinobacteria,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Dermatophilaceae,,
17,3300026283-bin.21,14.31595698,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,
34,3300026289-bin.24,13.19138325,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,
2,3300009517-bin.12,12.54305593,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Runella,
11,3300009517-bin.6,12.48947719,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Aquidulcibacter,
3,3300009517-bin.13,12.13013109,Betaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,
41,3300026299-bin.49,10.8449785,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter,
37,3300026289-bin.41,10.08502723,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,
40,3300026299-bin.26,9.941057023,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
15,3300026283-bin.18,9.480058362,Rhodothermeota,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,,,
22,3300026287-bin.29,8.839801515,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,
25,3300026288-bin.15,8.749633898,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,
48,3300026302-bin.32,8.416288162,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,NS11-12g,UKL13-3,,
4,3300009517-bin.29,8.101964416,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,,
24,3300026287-bin.4,7.256364618,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aminobacter,
23,3300026287-bin.38,6.627300217,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,
18,3300026283-bin.28,6.222880144,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,
1,3300009517-bin.1,6.162371081,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Leadbetterella,
35,3300026289-bin.28,6.145595454,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,,,,
52,3300026302-bin.61,6.120722128,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,CCB-MM2,
29,3300026288-bin.32,5.951604364,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,
5,3300009517-bin.3,5.511881669,Actinobacteria,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Dermatophilaceae,Tetrasphaera_A,
51,3300026302-bin.59,5.507763481,Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,
9,3300009517-bin.47,5.088071818,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA6273,
7,3300009517-bin.31,5.05168161,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
30,3300026288-bin.34,4.969595669,Betaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,
12,3300009517-bin.7,4.727771725,Actinobacteria,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Salinibacterium,
46,3300026302-bin.27,4.513261994,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavihumibacter,
45,3300026302-bin.25,4.26954802,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,YEK0313,YEK0313,
44,3300026302-bin.24,4.128693119,Chlorobi,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,,
10,3300009517-bin.52,3.874762182,Actinobacteria,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,,
8,3300009517-bin.42,3.534632616,Betaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rubrivivax,
16,3300026283-bin.19,3.267061704,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,UBA1312,
36,3300026289-bin.38,3.252619019,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
32,3300026288-bin.6,3.121907623,Armatimonadota,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,,
27,3300026288-bin.23,2.562676431,Betaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ottowia,
55,3300026303-bin.38,2.417445069,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium_A,
28,3300026288-bin.30,2.324003745,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
