3300009517-bin.12_KBJPLPBP_00001	K04063
3300009517-bin.12_KBJPLPBP_00002	K06901
3300009517-bin.12_KBJPLPBP_00004	K03797
3300009517-bin.12_KBJPLPBP_00005	K03773
3300009517-bin.12_KBJPLPBP_00006	K07214
3300009517-bin.12_KBJPLPBP_00012	K00800
3300009517-bin.12_KBJPLPBP_00014	K03818
3300009517-bin.12_KBJPLPBP_00015	K13002
3300009517-bin.12_KBJPLPBP_00016	K02851
3300009517-bin.12_KBJPLPBP_00020	K01620
3300009517-bin.12_KBJPLPBP_00024	K07090
3300009517-bin.12_KBJPLPBP_00038	K06911
3300009517-bin.12_KBJPLPBP_00045	K03551
3300009517-bin.12_KBJPLPBP_00046	K02902
3300009517-bin.12_KBJPLPBP_00052	K07157
3300009517-bin.12_KBJPLPBP_00059	K09800
3300009517-bin.12_KBJPLPBP_00061	K00162
3300009517-bin.12_KBJPLPBP_00062	K02557
3300009517-bin.12_KBJPLPBP_00063	K03797
3300009517-bin.12_KBJPLPBP_00065	K06917
3300009517-bin.12_KBJPLPBP_00073	K03665
3300009517-bin.12_KBJPLPBP_00074	K06889
3300009517-bin.12_KBJPLPBP_00079	K07283
3300009517-bin.12_KBJPLPBP_00088	K03088
3300009517-bin.12_KBJPLPBP_00105	K18581
3300009517-bin.12_KBJPLPBP_00111	K21572
3300009517-bin.12_KBJPLPBP_00113	K07165
3300009517-bin.12_KBJPLPBP_00114	K03088
3300009517-bin.12_KBJPLPBP_00117	K09992
3300009517-bin.12_KBJPLPBP_00118	K21572
3300009517-bin.12_KBJPLPBP_00120	K07165
3300009517-bin.12_KBJPLPBP_00121	K03088
3300009517-bin.12_KBJPLPBP_00129	K00652
3300009517-bin.12_KBJPLPBP_00145	K14194
3300009517-bin.12_KBJPLPBP_00150	K00940
3300009517-bin.12_KBJPLPBP_00151	K06881
3300009517-bin.12_KBJPLPBP_00154	K02428
3300009517-bin.12_KBJPLPBP_00164	K04074
3300009517-bin.12_KBJPLPBP_00165	K01633
3300009517-bin.12_KBJPLPBP_00167	K08641
3300009517-bin.12_KBJPLPBP_00180	K22136
3300009517-bin.12_KBJPLPBP_00184	K07491
3300009517-bin.12_KBJPLPBP_00185	K01875
3300009517-bin.12_KBJPLPBP_00187	K03100
3300009517-bin.12_KBJPLPBP_00188	K01992
3300009517-bin.12_KBJPLPBP_00189	K01990
3300009517-bin.12_KBJPLPBP_00191	K03478
3300009517-bin.12_KBJPLPBP_00192	K01669
3300009517-bin.12_KBJPLPBP_00202	K07017
3300009517-bin.12_KBJPLPBP_00206	K05592
3300009517-bin.12_KBJPLPBP_00207	K09812
3300009517-bin.12_KBJPLPBP_00208	K00616
3300009517-bin.12_KBJPLPBP_00210	K21572
