locus_tag	ftype	length_bp	gene	EC_number	COG	product
MNBKOHMO_00001	CDS	624	mltC_1			Membrane-bound lytic murein transglycosylase C
MNBKOHMO_00002	CDS	1746	proS	6.1.1.15	COG0442	Proline--tRNA ligase
MNBKOHMO_00003	CDS	657	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
MNBKOHMO_00004	CDS	504				hypothetical protein
MNBKOHMO_00005	CDS	1137	proB	2.7.2.11		Glutamate 5-kinase
MNBKOHMO_00006	CDS	1071	obg	3.6.5.-		GTPase Obg
MNBKOHMO_00007	CDS	261	rpmA		COG0211	50S ribosomal protein L27
MNBKOHMO_00008	CDS	312	rplU		COG0261	50S ribosomal protein L21
MNBKOHMO_00009	CDS	930	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
MNBKOHMO_00010	tRNA	77				tRNA-Pro(cgg)
MNBKOHMO_00011	CDS	1737	epsE_1		COG2804	Type II secretion system protein E
MNBKOHMO_00012	CDS	1209	epsF_1		COG1459	Type II secretion system protein F
MNBKOHMO_00013	CDS	849	outO			Type 4 prepilin-like proteins leader peptide-processing enzyme
MNBKOHMO_00014	CDS	606	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
MNBKOHMO_00015	CDS	783	zapD		COG4582	Cell division protein ZapD
MNBKOHMO_00016	CDS	207	yacG		COG3024	DNA gyrase inhibitor YacG
MNBKOHMO_00017	CDS	468	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
MNBKOHMO_00018	CDS	879				hypothetical protein
MNBKOHMO_00019	CDS	1230	argJ			Arginine biosynthesis bifunctional protein ArgJ
MNBKOHMO_00020	CDS	429				hypothetical protein
MNBKOHMO_00021	CDS	1119			COG4663	Monocarboxylate 2-oxoacid-binding periplasmic protein
MNBKOHMO_00022	CDS	621				hypothetical protein
MNBKOHMO_00023	CDS	2001	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
MNBKOHMO_00024	CDS	3294	icmF		COG1703	Fused isobutyryl-CoA mutase
MNBKOHMO_00025	CDS	774	drrA_1	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
MNBKOHMO_00026	CDS	705	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
MNBKOHMO_00027	CDS	1200				hypothetical protein
MNBKOHMO_00028	CDS	885	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
MNBKOHMO_00029	CDS	951				hypothetical protein
MNBKOHMO_00030	CDS	1458				hypothetical protein
MNBKOHMO_00031	CDS	768	rhlG_1	1.1.1.100		Rhamnolipids biosynthesis 3-oxoacyl-[acyl-carrier-protein] reductase
MNBKOHMO_00032	CDS	894	adoK	2.7.1.20		Adenosine kinase
MNBKOHMO_00033	CDS	954				hypothetical protein
MNBKOHMO_00034	CDS	882	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
MNBKOHMO_00035	CDS	1350	accC	6.3.4.14	COG0439	Biotin carboxylase
MNBKOHMO_00036	CDS	462	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
MNBKOHMO_00037	CDS	204				hypothetical protein
MNBKOHMO_00038	CDS	579				hypothetical protein
MNBKOHMO_00039	CDS	1629		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
MNBKOHMO_00040	CDS	1368	mpl	6.3.2.45	COG0773	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase
MNBKOHMO_00041	CDS	312				hypothetical protein
MNBKOHMO_00042	CDS	1131	aroG	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
MNBKOHMO_00043	CDS	552				hypothetical protein
MNBKOHMO_00044	CDS	1461	tldD	3.4.-.-	COG0312	Metalloprotease TldD
MNBKOHMO_00045	CDS	2073	stkP	2.7.11.1	COG0515	Serine/threonine-protein kinase StkP
MNBKOHMO_00046	CDS	870	ltnD_1	1.1.1.411	COG2084	L-threonate dehydrogenase
MNBKOHMO_00047	CDS	1158	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
MNBKOHMO_00048	CDS	1839	liaS	2.7.13.3	COG4585	Sensor histidine kinase LiaS
MNBKOHMO_00049	CDS	708	degU_1		COG2197	Transcriptional regulatory protein DegU
MNBKOHMO_00050	CDS	600				hypothetical protein
MNBKOHMO_00051	CDS	2064	rnb	3.1.13.1	COG4776	Exoribonuclease 2
MNBKOHMO_00052	CDS	855				hypothetical protein
MNBKOHMO_00053	CDS	843	aroE_1	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
MNBKOHMO_00054	CDS	729	mtgA	2.4.1.129	COG0744	Biosynthetic peptidoglycan transglycosylase
MNBKOHMO_00055	CDS	279				hypothetical protein
MNBKOHMO_00056	CDS	492				hypothetical protein
MNBKOHMO_00057	CDS	633				hypothetical protein
MNBKOHMO_00058	CDS	990				hypothetical protein
MNBKOHMO_00059	CDS	549	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
MNBKOHMO_00060	CDS	1101		1.13.12.-	COG2070	Putative monooxygenase
MNBKOHMO_00061	CDS	984				hypothetical protein
MNBKOHMO_00062	CDS	1029	yfdE_1	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
MNBKOHMO_00063	CDS	1194	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
MNBKOHMO_00064	CDS	810	tsaQ1_1			HTH-type transcriptional regulator TsaQ1/TsaQ2
MNBKOHMO_00065	CDS	1194	smtA	2.8.3.22	COG1804	Succinyl-CoA--L-malate CoA-transferase alpha subunit
MNBKOHMO_00066	CDS	1230				hypothetical protein
MNBKOHMO_00067	CDS	1224	acrC	1.3.1.95		Acryloyl-CoA reductase (NADH)
MNBKOHMO_00068	CDS	1011	yhfP	1.6.5.-	COG0604	Putative quinone oxidoreductase YhfP
MNBKOHMO_00069	CDS	177				hypothetical protein
MNBKOHMO_00070	CDS	924	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
MNBKOHMO_00071	CDS	1221	ftsZ		COG0206	Cell division protein FtsZ
MNBKOHMO_00072	CDS	1230	ftsA_1		COG0849	Cell division protein FtsA
MNBKOHMO_00073	CDS	798	ftsQ		COG1589	Cell division protein FtsQ
MNBKOHMO_00074	CDS	975	ddl	6.3.2.4	COG1181	D-alanine--D-alanine ligase
MNBKOHMO_00075	CDS	1416	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
MNBKOHMO_00076	CDS	1062	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
MNBKOHMO_00077	CDS	1227	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
MNBKOHMO_00078	CDS	1530	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
MNBKOHMO_00079	CDS	1179	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
MNBKOHMO_00080	CDS	1380	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
MNBKOHMO_00081	CDS	1500	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
MNBKOHMO_00082	CDS	1737	penA	3.4.16.4	COG0768	putative peptidoglycan D,D-transpeptidase PenA
MNBKOHMO_00083	CDS	318	ftsL			Cell division protein FtsL
MNBKOHMO_00084	CDS	831	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
MNBKOHMO_00085	CDS	429	mraZ		COG2001	Transcriptional regulator MraZ
MNBKOHMO_00086	CDS	1890				hypothetical protein
MNBKOHMO_00087	CDS	981	dksA_1		COG1734	RNA polymerase-binding transcription factor DksA
MNBKOHMO_00088	CDS	1065	yjiA		COG0523	putative GTP-binding protein YjiA
MNBKOHMO_00089	CDS	1182	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
MNBKOHMO_00090	CDS	1683				hypothetical protein
MNBKOHMO_00091	CDS	819				hypothetical protein
MNBKOHMO_00092	CDS	924	xerC_1		COG4973	Tyrosine recombinase XerC
MNBKOHMO_00093	CDS	714				hypothetical protein
MNBKOHMO_00094	CDS	882	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
MNBKOHMO_00095	CDS	1635	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
MNBKOHMO_00096	CDS	792	rsuA_1	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
MNBKOHMO_00097	CDS	222				hypothetical protein
MNBKOHMO_00098	CDS	465	vapC_1	3.1.-.-		tRNA(fMet)-specific endonuclease VapC
MNBKOHMO_00099	CDS	1701				hypothetical protein
MNBKOHMO_00100	CDS	870	htpX_1	3.4.24.-	COG0501	Protease HtpX
MNBKOHMO_00101	CDS	780				hypothetical protein
MNBKOHMO_00102	CDS	849				hypothetical protein
MNBKOHMO_00103	CDS	1032	pyrC	3.5.2.3	COG0418	Dihydroorotase
MNBKOHMO_00104	CDS	738	glnQ_1			Glutamine transport ATP-binding protein GlnQ
MNBKOHMO_00105	CDS	669	gltK		COG0765	Glutamate/aspartate import permease protein GltK
MNBKOHMO_00106	CDS	720	glnM		COG0765	putative glutamine ABC transporter permease protein GlnM
MNBKOHMO_00107	CDS	897	gltI_1		COG0834	Glutamate/aspartate import solute-binding protein
MNBKOHMO_00108	CDS	894	gltI_2		COG0834	Glutamate/aspartate import solute-binding protein
MNBKOHMO_00109	CDS	1410	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
MNBKOHMO_00110	CDS	933	yjiE_1			HTH-type transcriptional regulator YjiE
MNBKOHMO_00111	CDS	1836	atm1		COG5265	ATM1-type heavy metal exporter
MNBKOHMO_00112	CDS	423		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
MNBKOHMO_00113	CDS	1587		2.1.1.72	COG0286	putative type I restriction enzymeP M protein
MNBKOHMO_00114	CDS	747				hypothetical protein
MNBKOHMO_00115	CDS	258				hypothetical protein
MNBKOHMO_00116	CDS	285				hypothetical protein
MNBKOHMO_00117	CDS	3483	radD	3.6.4.12	COG1061	Putative DNA repair helicase RadD
MNBKOHMO_00118	CDS	801	dpgD_1	4.2.1.17		Enoyl-CoA-hydratase
MNBKOHMO_00119	CDS	897	livH_2		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
MNBKOHMO_00120	CDS	1077				hypothetical protein
MNBKOHMO_00121	CDS	798	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
MNBKOHMO_00122	CDS	798	livF_2		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
MNBKOHMO_00123	CDS	1857		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
MNBKOHMO_00124	CDS	1167	livJ		COG0683	Leu/Ile/Val-binding protein
MNBKOHMO_00125	CDS	483				hypothetical protein
MNBKOHMO_00126	CDS	1158	mmgC_2	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
MNBKOHMO_00127	CDS	963				hypothetical protein
MNBKOHMO_00128	CDS	1851	accA1_1		COG4770	Acetyl-/propionyl-coenzyme A carboxylase alpha chain
MNBKOHMO_00129	CDS	1176	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
MNBKOHMO_00130	CDS	1668		2.1.3.1	COG4799	Methylmalonyl-CoA carboxyltransferase 12S subunit
