locus_tag	ftype	length_bp	gene	EC_number	COG	product
HAAEGAJD_00001	CDS	1608				hypothetical protein
HAAEGAJD_00002	CDS	993	gtaB_1	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
HAAEGAJD_00003	CDS	741				hypothetical protein
HAAEGAJD_00004	CDS	297				hypothetical protein
HAAEGAJD_00005	CDS	1329	creD		COG4452	Inner membrane protein CreD
HAAEGAJD_00006	CDS	270				hypothetical protein
HAAEGAJD_00007	CDS	1092	higA_1			Antitoxin HigA
HAAEGAJD_00008	CDS	456				putative protein
HAAEGAJD_00009	CDS	324				hypothetical protein
HAAEGAJD_00010	CDS	1815	btuB_1		COG4206	Vitamin B12 transporter BtuB
HAAEGAJD_00011	CDS	1272	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
HAAEGAJD_00012	CDS	795				hypothetical protein
HAAEGAJD_00013	CDS	1296			COG4942	putative protein
HAAEGAJD_00014	CDS	786				hypothetical protein
HAAEGAJD_00015	CDS	1719	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
HAAEGAJD_00016	CDS	993	gtaB_2	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
HAAEGAJD_00017	CDS	444	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
HAAEGAJD_00018	CDS	1458				hypothetical protein
HAAEGAJD_00019	CDS	1878	bepA_2	3.4.-.-		Beta-barrel assembly-enhancing protease
HAAEGAJD_00020	CDS	318				hypothetical protein
HAAEGAJD_00021	CDS	273				hypothetical protein
HAAEGAJD_00022	CDS	1083				hypothetical protein
HAAEGAJD_00023	CDS	219				hypothetical protein
HAAEGAJD_00024	CDS	1476	rpoN		COG1508	RNA polymerase sigma-54 factor
HAAEGAJD_00025	CDS	741	walR_1		COG0745	Transcriptional regulatory protein WalR
HAAEGAJD_00026	CDS	1107	phoR_1	2.7.13.3	COG0642	Alkaline phosphatase synthesis sensor protein PhoR
HAAEGAJD_00027	CDS	219				hypothetical protein
HAAEGAJD_00028	CDS	1323				hypothetical protein
HAAEGAJD_00029	CDS	2529	bsn_1	3.1.-.-	COG2356	Extracellular ribonuclease
HAAEGAJD_00030	CDS	9063				hypothetical protein
HAAEGAJD_00031	CDS	90				hypothetical protein
HAAEGAJD_00032	CDS	822		2.1.1.-		putative S-adenosylmethionine-dependent methyltransferase/MSMEI_2290
HAAEGAJD_00033	CDS	660				hypothetical protein
HAAEGAJD_00034	CDS	1023	entC	5.4.4.2	COG1169	Isochorismate synthase EntC
HAAEGAJD_00035	CDS	438		3.1.2.-	COG2050	Putative esterase
HAAEGAJD_00036	CDS	2001	luxQ_1	2.7.13.3		Autoinducer 2 sensor kinase/phosphatase LuxQ
HAAEGAJD_00037	CDS	429	rcp1			Response regulator rcp1
HAAEGAJD_00038	CDS	1686	cph1_1	2.7.13.3		Phytochrome-like protein cph1
HAAEGAJD_00039	CDS	2214				hypothetical protein
HAAEGAJD_00040	CDS	1842	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
HAAEGAJD_00041	CDS	1020	aroF	2.5.1.54	COG2876	Phospho-2-dehydro-3-deoxyheptonate aldolase
